name	id	price	categories/0/title	categories/1/title	categories/2/title	coordinates/longitude	coordinates/latitude	location/zip_code	location/address1	rating	review_count	phone
Lyn's	lyns-philadelphia-2	$	Sandwiches	Breakfast & Brunch	Food Trucks	-75.1953278	39.9506416	19104	3600 Spruce St	4.5	53	
Pitruco Pizza	pitruco-pizza-philadelphia	$	Pizza	Food Trucks	Italian	-75.1914831	39.9558055	19104	34TH Market Streets	4.5	102	14846025454
Reed's Coffee & Tea House	reeds-coffee-and-tea-house-philadelphia	$	Cafes	Coffee & Tea	Breakfast & Brunch	-75.1972122	39.9601288	19104	3802 Lancaster Ave	4.5	96	12672444202
Tacos Don Memo	tacos-don-memo-philadelphia	$	Mexican	Food Trucks		-75.199123	39.951988	19104	270 S 38th St	4.5	152	16105292039
Cucina Zapata	cucina-zapata-philadelphia	$	Food Stands	Thai	Mexican	-75.1854935	39.9542694	19104	S 31st & Ludlow St	4.5	182	
Fresh Fruit Salad Cart	fresh-fruit-salad-cart-philadelphia	$	Food Stands			-75.19723	39.9510099	19104	37th and Spruce St	4.5	35	
Herban Quality Eats	herban-quality-eats-philadelphia-4	$	Salad	American (New)		-75.1941462	39.95653952	19104	3601 Market St	4.5	72	12153865000
La Dominique	la-dominique-philadelphia	$	Food Stands	Creperies		-75.19059	39.9553	19104	3300 Market St	4.5	43	
Zavino	zavino-philadelphia-3	$$	Pizza	Wine Bars		-75.18918773	39.95364796	19104	3200 Chestnut St	4.5	192	12158236897
Bui's	buis-philadelphia	$	Sandwiches	Food Stands		-75.199024	39.951357	19195	38th St & Spruce St	4.5	91	18566307269
Magic Carpet	magic-carpet-philadelphia	$	Food Stands	Vegetarian	Mediterranean	-75.1921	39.95281	19176	34th & Walnut St	4.5	115	12153340948
Avril 50	avril-50-philadelphia	$$	Newspapers & Magazines	Tobacco Shops	Coffee & Tea	-75.192543	39.9534492	19104	3406 Sansom St	4.5	49	12152226108
The Fat Ham	the-fat-ham-philadelphia	$$	Southern	Tapas/Small Plates		-75.1873387	39.9524388	19104	3131 Walnut St	4	279	12157351914
Sabrina's Cafe	sabrinas-cafe-philadelphia-4	$$	American (New)	Breakfast & Brunch	Cafes	-75.19065601	39.95999573	19104	227 N 34th St	4	438	12152221022
Picnic	picnic-philadelphia	$$	Caterers	American (New)	Sandwiches	-75.1864319	39.9522552	19104	3131 Walnut St	4.5	80	12152221608
Capogiro Gelato	capogiro-gelato-philadelphia-2	$$	Coffee & Tea	Gelato	Pizza	-75.20138008	39.95417155	19104	3925 Walnut St	4	238	12152220252
Han Dynasty	han-dynasty-philadelphia-3	$$	Szechuan			-75.19696045	39.95663834	19104	3711 Market St	4	501	12152223711
Magic Carpet Foods	magic-carpet-foods-philadelphia	$	Fast Food	Food Trucks	Vegetarian	-75.1952896	39.950779	19104	36th & Spruce St	4.5	33	12153340948
Sitar India	sitar-india-philadelphia	$$	Indian			-75.19858011	39.95569561	19104	60 S 38th St	4	277	12156620818
Federal Donuts	federal-donuts-philadelphia-5	$	Donuts	Coffee & Tea	Comfort Food	-75.1931768	39.9535536	19104	3428 Sansom St	4	184	12672758489
White Dog Cafe	white-dog-cafe-philadelphia-2	$$	American (New)	Breakfast & Brunch		-75.19293	39.95352	19104	3420 Sansom St	3.5	700	12153869224
Distrito	distrito-philadelphia-2	$$$	Mexican	Cocktail Bars		-75.2020299	39.95592	19104	3945 Chestnut St	4	864	12152221657
Hemo's	hemos-philadelphia	$	Food Stands	Sandwiches		-75.19706183	39.95097325	19104	36th St and Spruce St	4	61	
Stan's Deli	stans-deli-philadelphia	$	Delis	Sandwiches		-75.19506	39.95953	19104	3632 Powelton Ave	4.5	29	12153827826
World Cafe Live	world-cafe-live-philadelphia	$$	Music Venues	American (New)	Bars	-75.18511	39.9522	19104	3025 Walnut St	4	282	12152221400
